observed_scientific_name,valid_scientific_name,vernacular_en
Calamospiza melanocorys,Calamospiza melanocorys,lark bunting
Pipilo maculatus,Pipilo maculatus,spotted towhee
Caracara cheriway,Caracara cheriway,crested caracara
Limosa lapponica,Limosa lapponica,bar-tailed godwit
Limosa limosa,Limosa limosa,black-tailed godwit
Fratercula arctica,Fratercula arctica,atlantic puffin
Picoides dorsalis,Picoides dorsalis,american three-toed woodpecker
Rhodostethia rosea,Rhodostethia rosea,ross's gull
Setophaga townsendi,Setophaga townsendi,townsend's warbler
Salpinctes obsoletus,Salpinctes obsoletus,rock wren
Polysticta stelleri,Polysticta stelleri,steller's eider
Myioborus pictus,Myioborus pictus,painted redstart
Turdus pilaris,Turdus pilaris,fieldfare
Euphagus cyanocephalus,Euphagus cyanocephalus,brewer's blackbird
Stercorarius longicaudus,Stercorarius longicaudus,long-tailed jaeger
Picoides arcticus,Picoides arcticus,black-backed woodpecker
Pyrocephalus rubinus,Pyrocephalus rubinus,vermilion flycatcher
Ectopistes migratorius,Ectopistes migratorius,passenger pigeon
Perisoreus canadensis,Perisoreus canadensis,gray jay
Synthliboramphus antiquus,Synthliboramphus antiquus,ancient murrelet
Spatula querquedula,Anas querquedula,garganey
Chlidonias leucopterus,Chlidonias leucopterus,white-winged tern
Tachycineta thalassina,Tachycineta thalassina,violet-green swallow
Athene cunicularia,Athene cunicularia,burrowing owl
Lagopus lagopus,Lagopus lagopus,willow grouse
Calidris acuminata,Calidris acuminata,sharp-tailed sandpiper
Charadrius hiaticula,Charadrius hiaticula,common ringed plover
Thalassarche chlororhynchos,Thalassarche chlororhynchos,atlantic yellow-nosed albatross
Cuculus canorus,Cuculus canorus,common cuckoo
Spizella breweri,Spizella breweri,brewer's sparrow
Fringilla montifringilla,Fringilla montifringilla,brambling
Brachyramphus perdix,Brachyramphus perdix,long-billed murrelet
Tyrannus melancholicus,Tyrannus melancholicus,tropical kingbird
Heracleum mantegazzianum,Heracleum mantegazzianum,giant hogweed
Dreissena polymorpha,Dreissena polymorpha,zebra mussel
Myriophyllum spicatum,Myriophyllum spicatum,eurasian water-milfoil
Potamogeton crispus,Potamogeton crispus,curly-leaved pondweed
Glyceria maxima,Glyceria maxima,rough mannagrass
Rorippa amphibia,Rorippa amphibia,amphibious yellowcress
Popillia japonica,Popillia japonica,NULL
Phragmites australis,Phragmites australis,common reed
Anthriscus sylvestris,Anthriscus sylvestris,wild chervil
Impatiens glandulifera,Impatiens glandulifera,purple jewelweed
Petasites japonicus,Petasites japonicus,japanese sweet coltsfoot
Eichhornia crassipes,Eichhornia crassipes,common water hyacinth
Reynoutria japonica,Fallopia japonica japonica,japanese knotweed
Frangula alnus,Frangula alnus,glossy buckthorn
Alliaria petiolata,Alliaria petiolata,garlic mustard
Lythrum salicaria,Lythrum salicaria,purple loosestrife
Aegopodium podagraria,Aegopodium podagraria,goutweed
Phalaris arundinacea,Phalaris arundinacea,reed canarygrass
Valeriana officinalis,Valeriana officinalis,common valerian
Helianthus tuberosus,Helianthus tuberosus,jerusalem artichoke
Symphytum officinale,Symphytum officinale,common comfrey
Heracleum sphondylium,Heracleum sphondylium,meadow cow parsnip
Butomus umbellatus,Butomus umbellatus,flowering-rush
Reynoutria bohemica,Fallopia bohemica,bohemian knotweed
Iris pseudacorus,Iris pseudacorus,yellow iris
Ulmus pumila,Ulmus pumila,siberian elm
Miscanthus sacchariflorus,Miscanthus sacchariflorus,amur silvergrass
Trapa natans,Trapa natans,water chestnut
Galium mollugo,Galium mollugo,smooth bedstraw
Tinca tinca,Tinca tinca,tench
Reynoutria sachalinensis,Fallopia sachalinensis,giant knotweed
Vincetoxicum rossicum,Cynanchum rossicum,european swallowwort
Pastinaca sativa,Pastinaca sativa,wild parsnip
Nymphoides peltata,Nymphoides peltata,yellow floatingheart
Acer platanoides,Acer platanoides,norway maple
Orconectes rusticus,Faxonius rusticus,rusty crayfish
Stratiotes aloides,Stratiotes aloides,water soldiers
Trachemys scripta,Trachemys scripta,common slider
Lysimachia nummularia,Lysimachia nummularia,creeping yellow loosestrife
Ctenopharyngodon idella,Ctenopharyngodon idella,grass carp
Neogobius melanostomus,Neogobius melanostomus,round goby
Vincetoxicum nigrum,Cynanchum louiseae,black swallowwort
Pistia stratiotes,Pistia stratiotes,water lettuce
Thamnophis sauritus,Thamnophis saurita,eastern ribbon snake
Spatula cyanoptera,Anas cyanoptera,cinnamon teal
Vulpes lagopus,Vulpes lagopus,arctic fox
Larus crassirostris,Larus crassirostris,black-tailed gull
Sula leucogaster,Sula leucogaster,brown booby
Tyrannus dominicensis,Tyrannus dominicensis,gray kingbird
Larus schistisagus,Larus schistisagus,slaty-backed gull
Tadorna tadorna,Tadorna tadorna,common shelduck
Vireo flavoviridis,Vireo flavoviridis,yellow-green vireo
Falcipennis canadensis,Falcipennis canadensis,spruce grouse
Perdix perdix,Perdix perdix,gray partridge
Anser serrirostris,Anser serrirostris,NULL
Contopus sordidulus,Contopus sordidulus,western wood pewee
Turdus iliacus,Turdus iliacus,NULL
Pluvialis apricaria,Pluvialis apricaria,european golden plover
Icterus cucullatus,Icterus cucullatus,hooded oriole
Lagopus muta,Lagopus muta,rock ptarmigan
Tympanuchus phasianellus,Tympanuchus phasianellus,sharp-tailed grouse
Amphispiza bilineata,Amphispiza bilineata,black-throated sparrow
Colibri thalassinus,Colibri thalassinus,green violet-ear
Setophaga kirtlandii,Setophaga kirtlandii,kirtland's warbler
Leucosticte tephrocotis,Leucosticte tephrocotis,gray-crowned rosy-finch
Pica hudsonia,Pica hudsonia,black-billed magpie
Motacilla alba,Motacilla alba,white wagtail
Phalacrocorax brasilianus,Phalacrocorax brasilianus,neotropic cormorant
Grus grus,Grus grus,common crane
Vireo atricapilla,Vireo atricapilla,black-capped vireo
Tringa nebularia,Tringa nebularia,common greenshank
Grus americana,Grus americana,whooping crane
Alauda arvensis,Alauda arvensis,eurasian skylark
Calypte anna,Calypte anna,anna's hummingbird
Cygnus cygnus,Cygnus cygnus,whooper swan
Piranga flava,Piranga flava,hepatic tanager
Larus michahellis,Larus michahellis,yellow-legged gull
Fulica atra,Fulica atra,eurasian coot
Turdus philomelos,Turdus philomelos,song thrush
Apus apus,Apus apus,common swift
Lampornis amethystinus,Lampornis amethystinus,amethyst-throated hummingbird
Columba palumbus,Columba palumbus,common wood pigeon
Bellamya chinensis,Cipangopaludina chinensis,chinese mysterysnail
Trichotropis borealis,Trichotropis borealis,boreal hairysnail
Columba livia,Columba livia,common pigeon
Carduelis tristis,Spinus tristis,american goldfinch
Catharus mustelinus,Hylocichla mustelina,wood thrush
Dendroica petechia,Setophaga petechia,mangrove warbler
Acer saccharum,Acer saccharum,sugar maple
Acer rubrum,Acer rubrum,red maple
Fagus grandifolia,Fagus grandifolia,american beech
Ostrya virginiana,Ostrya virginiana,eastern hop-hornbeam
Fraxinus americana,Fraxinus americana,white ash
Ulmus americana,Ulmus americana,white elm
Betula alleghaniensis,Betula alleghaniensis,yellow birch
Solidago,Solidago,goldenrod
Betula papyrifera,Betula papyrifera,paper birch
Quercus rubra,Quercus rubra,northern red oak
Tilia americana,Tilia americana,basswood
Tsuga canadensis,Tsuga canadensis,eastern hemlock
Acer pensylvanicum,Acer pensylvanicum,striped maple
Picea glauca,Picea glauca,white spruce
Picea rubens,Picea rubens,red spruce
Abies balsamea,Abies balsamea,balsam fir
Picea mariana,Picea mariana,black spruce
Clethrionomys gapperi,Myodes gapperi,southern red-backed vole
Napaeozapus insignis,Napaeozapus insignis,woodland jumping mouse
Tamias striatus,Tamias striatus,eastern chipmunk
Amblyraja radiata,Amblyraja radiata,starry skate
Hippoglossoides platessoides,Hippoglossoides platessoides,american plaice
Melanogrammus aeglefinus,Melanogrammus aeglefinus,haddock
Myoxocephalus octodecemspinosus,Myoxocephalus octodecemspinosus,gray sculpin
Glyptocephalus cynoglossus,Glyptocephalus cynoglossus,witch flounder
Lycodes vahlii,Lycodes vahlii,vahl's eelpout
Pollachius virens,Pollachius virens,coalfish
Sebastes,Sebastes,rockcod
Merluccius bilinearis,Merluccius bilinearis,silver hake
Myxine glutinosa,Myxine glutinosa,atlantic hagfish
Nezumia bairdii,Nezumia bairdii,common grenadier
Phycis chesteri,Phycis chesteri,longfin hake
Malacoraja senta,Malacoraja senta,smooth skate
Lophius americanus,Lophius americanus,goosefish
Hemitripterus americanus,Hemitripterus americanus,sea raven
Limanda ferruginea,Limanda ferruginea,yellowtail flounder
Illex illecebrosus,Illex illecebrosus,northern shortfin squid
Peprilus triacanthus,Peprilus triacanthus,butterfish
Urophycis chuss,Urophycis chuss,red hake
Squalus acanthias,Squalus acanthias,dogfish
Zoarces americanus,Zoarces americanus,ocean pout
Hippoglossus hippoglossus,Hippoglossus hippoglossus,atlantic halibut
Enchelyopus cimbrius,Enchelyopus cimbrius,fourbeard rockling
Argentina silus,Argentina silus,atlantic argentine
Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,greenland halibut
Scomber scombrus,Scomber scombrus,atlantic mackerel
Leptagonus decagonus,Leptagonus decagonus,atlantic poacher
Aspidophoroides monopterygius,Aspidophoroides monopterygius,alligatorfish
Artediellus uncinatus,Artediellus uncinatus,arctic hookear sculpin
Leptoclinus maculatus,Leptoclinus maculatus,daubed shanny
Thuja occidentalis,Thuja occidentalis,eastern white cedar
Triglops murrayi,Triglops murrayi,mailed sculpin
Ammodytes dubius,Ammodytes dubius,northern sand lance
Eumicrotremus spinosus,Eumicrotremus spinosus,atlantic spiny lumpsucker
Arctozenus risso,Arctozenus risso,white barracudina
Centroscyllium fabricii,Centroscyllium fabricii,black dogfish
Rajella fyllae,Rajella fyllae,round skate
Melanostigma atlanticum,Melanostigma atlanticum,atlantic soft pout
Cyclopterus lumpus,Cyclopterus lumpus,lumpfish
Synaphobranchus kaupii,Synaphobranchus kaupii,longnosed eel
Nemichthys scolopaceus,Nemichthys scolopaceus,atlantic snipe eel
Liparis atlanticus,Liparis atlanticus,atlantic seasnail
Lycodes esmarkii,Lycodes esmarkii,esmark's eelpout
Notacanthus chemnitzii,Notacanthus chemnitzii,snubnosed spiny eel
Artediellus,Artediellus,hookear sculpins
Lumpenus lampretaeformis,Lumpenus lampretaeformis,serpent blenny
Liparis fabricii,Liparis fabricii,gelatinous seasnail
Lycodes pallidus,Lycodes pallidus,pale eelpout
Liparis gibbus,Liparis gibbus,polka-dot snailfish
Artediellus atlanticus,Artediellus atlanticus,atlantic hookear sculpin
Lycodes lavalaei,Lycodes lavalaei,newfoundland eelpout
Menidia menidia,Menidia menidia,atlantic silverside
Leucoraja erinacea,Leucoraja erinacea,common skate
Scophthalmus aquosus,Scophthalmus aquosus,windowpane
Dipturus laevis,Dipturus laevis,barndoor skate
Lycodes,Lycodes,NULL
Icelus spatula,Icelus spatula,spatulate sculpin
Ulvaria subbifurcata,Ulvaria subbifurcata,radiated shanny
Alosa aestivalis,Alosa aestivalis,blueback herring
Cryptacanthodes maculatus,Cryptacanthodes maculatus,wrymouth
Cottunculus microps,Cottunculus microps,arctic sculpin
Stomias boa,Stomias boa,boa dragonfish
Lycenchelys paxillus,Lycenchelys paxillus,common wolf eel
Paraliparis copei,Paraliparis copei,blacksnout seasnail
Tautogolabrus adspersus,Tautogolabrus adspersus,cunner
Pholis gunnellus,Pholis gunnellus,rock gunnel
Myoxocephalus aenaeus,Myoxocephalus aenaeus,grubby
Chauliodus sloani,Chauliodus sloani,sloan's fangfish
Gaidropsarus ensis,Gaidropsarus ensis,arctic threebeard rockling
Lycenchelys verrillii,Lycenchelys verrillii,wolf eelpout
Lycodes reticulatus,Lycodes reticulatus,arctic eelpout
Careproctus reinhardti,Careproctus reinhardti,sea tadpole
Gymnelus viridis,Gymnelus viridis,fish doctor
Icelus bicornis,Icelus bicornis,twohorn sculpin
Polyipnus asteroides,Polyipnus asteroides,NULL
Cetorhinus maximus,Cetorhinus maximus,basking shark
Lumpenus fabricii,Lumpenus fabricii,slender eelblenny
Eumesogrammus praecisus,Eumesogrammus praecisus,fourline snakeblenny
Coryphaenoides rupestris,Coryphaenoides rupestris,rock grenadier
Paraliparis calidus,Paraliparis calidus,lowfin snailfish
Trachyrincus murrayi,Trachyrincus murrayi,roughnose grenadier
Gadus ogac,Gadus ogac,greenland cod
Ammodytes,Ammodytes,sand lances
Halocynthia pyriformis,Halocynthia pyriformis,NULL
Helicolenus dactylopterus,Helicolenus dactylopterus,blackbelly rosefish
Scomberesox saurus,Scomberesox saurus,atlantic saury
Gymnocanthus tricuspis,Gymnocanthus tricuspis,arctic staghorn sculpin
Stichaeus punctatus,Stichaeus punctatus,arctic shanny
Ulcina olrikii,Ulcina olrikii,arctic alligatorfish
Bathyraja spinicauda,Bathyraja spinicauda,spinytail skate
Serrivomer beanii,Serrivomer beanii,sawtooth eel
Homarus americanus,Homarus americanus,american lobster
Pandalus borealis,Pandalus borealis,northern shrimp
Pandalus montagui,Pandalus montagui,aesop shrimp
Placopecten magellanicus,Placopecten magellanicus,sea scallop
Sebastes fasciatus,Sebastes fasciatus,acadian redfish
Crangon septemspinosa,Crangon septemspinosa,sand shrimp
Pasiphaea multidentata,Pasiphaea multidentata,pink glass shrimp
Hyas araneus,Hyas araneus,atlantic lyre crab
Cucumaria frondosa,Cucumaria frondosa,NULL
Lebbeus groenlandicus,Lebbeus groenlandicus,spiny lebbeid
Mytilus edulis,Mytilus edulis,blue mussel
Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,NULL
Chionoecetes opilio,Chionoecetes opilio,snow crab
Spirontocaris spinus,Spirontocaris spinus,parrot shrimp
Chlamys islandica,Chlamys islandica,iceland scallop
Syngnathus fuscus,Syngnathus fuscus,northern pipefish
Buccinum undatum,Buccinum undatum,waved whelk
Mya arenaria,Mya arenaria,softshell
Sternaspis scutata,Sternaspis scutata,NULL
Harmothoe imbricata,Harmothoe imbricata,NULL
Melanitta nigra,Melanitta nigra,black scoter
Carduelis pinus,Spinus pinus,pine siskin
Carpodacus purpureus,Haemorhous purpureus,purple finch
Dendroica coronata,Setophaga coronata,myrtle warbler
Dendroica magnolia,Setophaga magnolia,magnolia warbler
Dendroica pensylvanica,Setophaga pensylvanica,chestnut-sided warbler
Hirundo pyrrhonota,Petrochelidon pyrrhonota,american cliff swallow
Parus atricapillus,Poecile atricapillus,black-capped chickadee
Seiurus aurocapillus,Seiurus aurocapilla,ovenbird
Vermivora ruficapilla,Leiothlypis ruficapilla,nashville warbler
Contopus borealis,Contopus cooperi,olive-sided flycatcher
Dendroica caerulescens,Setophaga caerulescens,black-throated blue warbler
Dendroica fusca,Setophaga fusca,blackburnian warbler
Dendroica striata,Setophaga striata,blackpoll warbler
Dendroica virens,Setophaga virens,black-throated green warbler
Oporornis philadelphia,Geothlypis philadelphia,mourning warbler
Parula americana,Setophaga americana,northern parula
Seiurus noveboracensis,Parkesia noveboracensis,northern waterthrush
Troglodytes troglodytes,Troglodytes troglodytes,winter wren
Wilsonia canadensis,Cardellina canadensis,canada warbler
Euonymus javanicus,Euonymus indicus,NULL
Caprimulgus vociferus,Antrostomus vociferus,nightjars
Hesperiphona vespertina,Hesperiphona vespertina,evening grosbeak
Dendroica tigrina,Setophaga tigrina,cape may warbler
Echinarachnius parma,Echinarachnius parma,NULL
Aphrodita hastata,Aphrodita hastata,NULL
Xema sabini,Xema sabini,sabine's gull
Pagurus,Pagurus,NULL
Rallus limicola,Rallus limicola,virginia rail
Axiognathus squamata,Amphipholis squamata,NULL
Uria,Uria,murres
Larus,Larus,gulls
Puffinus gravis,Puffinus gravis,great shearwater
Larus sabini,Xema sabini,sabine's gull
Puffinus griseus,Puffinus griseus,sooty shearwater
Stercorarius,Stercorarius,jaegers
Larus philadelphia,Chroicocephalus philadelphia,bonaparte's gull
Delphinus delphis,Delphinus delphis,short-beaked common dolphin
Oceanodroma,Oceanodroma,dark storm petrels
Globicephala melas,Globicephala melas,long-finned pilot whale
Catharacta skua,Stercorarius skua,great skua
Lagenorhynchus acutus,Lagenorhynchus acutus,atlantic white-sided dolphin
Sterna,Sterna,typical terns
Melanitta,Melanitta,scoters
Somateria,Somateria,greater eiders
Megaptera novaeangliae,Megaptera novaeangliae,humpback whale
Puffinus,Puffinus,NULL
Lagenorhynchus albirostris,Lagenorhynchus albirostris,white-beaked dolphin
Balaenoptera acutorostrata,Balaenoptera acutorostrata,common minke whale
Pagophilus groenlandicus,Pagophilus groenlandicus,harp seal
Parus hudsonicus,Poecile hudsonicus,boreal chickadee
Wilsonia pusilla,Cardellina pusilla,wilson's warbler
Vermivora peregrina,Leiothlypis peregrina,tennessee warbler
Carpodacus mexicanus,Haemorhous mexicanus,house finch
Uria aalge,Uria aalge,common murre
Physeter macrocephalus,Physeter macrocephalus,sperm whale
Chen caerulescens,Chen caerulescens,blue goose
Calanus finmarchicus,Calanus finmarchicus,NULL
Limacina,Limacina,NULL
Obelia,Obelia,NULL
Pleurobrachia pileus,Pleurobrachia pileus,sea gooseberry
Temora longicornis,Temora longicornis,NULL
Acartia longiremis,Acartia longiremis,NULL
Centropages,Centropages,NULL
Clausocalanus,Clausocalanus,NULL
Eurytemora herdmani,Eurytemora herdmani,NULL
Evadne,Evadne,NULL
Oithona,Oithona,NULL
Oithona atlantica,Oithona atlantica,NULL
Oithona similis,Oithona similis,NULL
Paracalanus,Paracalanus,NULL
Pseudocalanus,Pseudocalanus,NULL
Themisto compressa,Themisto compressa,NULL
Acartia clausii,Acartia clausi,NULL
Sagitta,Sagitta,NULL
Metridia longa,Metridia longa,NULL
Microcalanus,Microcalanus,NULL
Calanus hyperboreus,Calanus hyperboreus,NULL
Centropages typicus,Centropages typicus,NULL
Sergestes,Sergestes,NULL
Euphysa aurata,Euphysa aurata,NULL
Aurelia,Aurelia,NULL
Eualus,Eualus,NULL
Orcinus orca,Orcinus orca,killer whale
Halichoerus grypus,Halichoerus grypus,atlantic gray seal
Cystophora cristata,Cystophora cristata,hooded seal
Balaenoptera borealis,Balaenoptera borealis,sei whale
Aglantha digitalis,Aglantha digitale,pink helmet
Calanus glacialis,Calanus glacialis,NULL
Oikopleura,Oikopleura,NULL
Oncaea,Oncaea,NULL
Aetideus armatus,Aetideus armatus,NULL
Benthosema glaciale,Benthosema glaciale,glacier lanterfish
Clione limacina,Clione limacina,NULL
Conchoecia,Conchoecia,NULL
Eukrohnia hamata,Eukrohnia hamata,NULL
Limacina helicina,Limacina helicina,helicid pteropod
Parasagitta,Parasagitta,NULL
Scolecithricella minor,Scolecithricella minor,NULL
Thysanoessa longicaudata,Thysanoessa longicaudata,NULL
Serratosagitta serratodentata,Serratosagitta serratodentata,NULL
Meganyctiphanes norvegica,Meganyctiphanes norvegica,northern krill
Oncaea borealis,Oncaea borealis,NULL
Tomopteris helgolandica,Tomopteris helgolandica,NULL
Parasagitta elegans,Parasagitta elegans,NULL
Tortanus discaudatus,Tortanus discaudatus,NULL
Metridia,Metridia,NULL
Centropages hamatus,Centropages hamatus,NULL
Lumpenus lumpretaeformis,Lumpenus lampretaeformis,serpent blenny
Themisto,Themisto,NULL
Thysanopoda,Thysanopoda,NULL
Microcalanus pusillus,Microcalanus pusillus,NULL
Microsetella norvegica,Microsetella norvegica,NULL
Parathemisto libellula,Themisto libellula,NULL
Evadne nordmanni,Evadne nordmanni,NULL
Acartia,Acartia,NULL
Eurytemora,Eurytemora,NULL
Podon,Podon,NULL
Gaidius tenuispinus,Gaetanus tenuispinus,NULL
Euchaeta norvegica,Paraeuchaeta norvegica,NULL
Pasiphaea,Pasiphaea,NULL
Acartia hudsonica,Acartia hudsonica,NULL
Euchaeta,Euchaeta,NULL
Oikopleura labradoriensis,Oikopleura labradoriensis,NULL
Beroe cucumis,Beroe cucumis,NULL
Spinocalanus abyssalis,Spinocalanus abyssalis,NULL
Cyanea capillata,Cyanea capillata,lion's mane
Tomopteris,Tomopteris,NULL
Tomopteris septentrionalis,Tomopteris septentrionalis,NULL
Thysanoessa inermis,Thysanoessa inermis,NULL
Themisto abyssorum,Themisto abyssorum,NULL
Lucicutia flavicornis,Lucicutia flavicornis,NULL
Beroe,Beroe,NULL
Podon intermedius,Podon intermedius,NULL
Thalassionema nitzschioides,Thalassionema nitzschioides,NULL
Paraeuchaeta norvegica,Paraeuchaeta norvegica,NULL
Sabinea septemcarinata,Sabinea septemcarinata,sevenline shrimp
Eualus macilentus,Eualus macilentus,greenland shrimp
Stomphia coccinea,Stomphia coccinea,swimming anemone
Pasiphaea tarda,Pasiphaea tarda,crimson pasiphaeid
Boreogadus saida,Boreogadus saida,arctic cod
Triglops,Triglops,NULL
Paralepis coregonoides,Paralepis coregonoides,NULL
Parasudis truculenta,Parasudis truculenta,longnose greeneye
Raja senta,Malacoraja senta,smooth skate
Leathesia difformis,Leathesia difformis,NULL
Lithodes maja,Lithodes maja,norway king crab
Gorgonocephalus arcticus,Gorgonocephalus arcticus,NULL
Rhachotropis aculeata,Rhachotropis aculeata,NULL
Sclerocrangon boreas,Sclerocrangon boreas,sculptured shrimp
Triglops nybelini,Triglops nybelini,bigeye sculpin
Triglops pingelii,Triglops pingelii,ribbed sculpin
Sebastes mentella,Sebastes mentella,deepwater redfish
Leptasterias polaris,Leptasterias polaris,NULL
Crossaster papposus,Crossaster papposus,common sun star
Solaster endeca,Solaster endeca,purple sun star
Hiatella arctica,Hiatella arctica,arctic hiatella
Psolus fabricii,Psolus fabricii,NULL
Ctenodiscus crispatus,Ctenodiscus crispatus,NULL
Gaidropsarus argentatus,Gaidropsarus argentatus,arctic threebearded rockling
Gersemia rubiformis,Gersemia rubiformis,sea strawberry
Lycodes terraenovae,Lycodes terraenovae,atlantic eelpout
Mya truncata,Mya truncata,truncate softshell
Hippasteria phrygiana,Hippasteria phrygiana,NULL
Ophiopholis aculeata,Ophiopholis aculeata,NULL
Pagurus pubescens,Pagurus pubescens,NULL
Henricia sanguinolenta,Henricia sanguinolenta,blood star
Gammarus lawrencianus,Gammarus lawrencianus,NULL
Asterias rubens,Asterias rubens,NULL
Pagurus acadianus,Pagurus acadianus,NULL
Nymphon grossipes,Nymphon grossipes,NULL
Aristaeopsis edwardsiana,Aristaeopsis edwardsiana,scarlet gamba prawn
Solariella obscura,Solariella obscura,obscure solarelle
Bubo virginianus,Bubo virginianus,great horned owl
Circus cyaneus,Circus cyaneus,northern harrier
Dendroica pinus,Setophaga pinus,pine warbler
Dendroica castanea,Setophaga castanea,bay-breasted warbler
Parus bicolor,Baeolophus bicolor,tufted titmouse
Carduelis flammea,Acanthis flammea,common redpoll
Picea,Picea,spruce
Tamiasciurus hudsonicus,Tamiasciurus hudsonicus,red squirrel
Sciurus carolinensis,Sciurus carolinensis,eastern gray squirrel
Sphagnum,Sphagnum,NULL
Pogonatum,Pogonatum,NULL
Salix herbacea,Salix herbacea,snowbed willow
Tomentypnum nitens,Tomentypnum nitens,NULL
Carex,Carex,sedge
Dicranum,Dicranum,NULL
Calliergon sarmentosum,Sarmentypnum sarmentosum,NULL
Paludella squarrosa,Paludella squarrosa,angled paludella moss
Polytrichum,Polytrichum,NULL
Vaccinium uliginosum,Vaccinium uliginosum,bog bilberry
Betula glandulosa,Betula glandulosa,glandular birch
Equisetum,Equisetum,horsetail
Harrimanella hypnoides,Harrimanella hypnoides,moss heather
Aeshna,Aeshna,NULL
Enallagma,Enallagma,NULL
Picoides villosus,Leuconotopicus villosus,hairy woodpecker
Oreothlypis ruficapilla,Leiothlypis ruficapilla,nashville warbler
Boltenia ovifera,Boltenia ovifera,NULL
Pedicularis flammea,Pedicularis flammea,red-tipped lousewort
Racomitrium,Racomitrium,NULL
Conostomum tetragonum,Conostomum tetragonum,NULL
Pyrola minor,Pyrola minor,lesser pyrola
Veronica wormskjoldii,Veronica wormskjoldii,wormskjold's alpine speedwell
Cladonia,Cladonia,NULL
Stereocaulon,Stereocaulon,NULL
Vaccinium vitis-idaea,Vaccinium vitis-idaea,mountain cranberry
Cassiope tetragona,Cassiope tetragona,four-angled mountain heather
Diapensia lapponica,Diapensia lapponica,lapland diapensia
Rhododendron tomentosum,Rhododendron tomentosum,northern labrador tea
Rhododendron groenlandicum,Rhododendron groenlandicum,common labrador tea
Phyllodoce caerulea,Phyllodoce caerulea,purple mountain heather
Dryas integrifolia,Dryas integrifolia,entire-leaved mountain avens
Oxytropis campestris,Oxytropis campestris,field locoweed
Pedicularis lapponica,Pedicularis lapponica,lapland lousewort
Pyrola,Pyrola,pyrola
Silene acaulis,Silene acaulis,moss campion
Cladonia deformis,Cladonia deformis,NULL
Potentilla hyparctica,Potentilla hyparctica,arctic cinquefoil
Oncophorus wahlenbergii,Oncophorus wahlenbergii,wahlenberg's oncophorus moss
Alces americanus,Alces americanus,moose
Canis lupus,Canis lupus,gray wolf
Ovibos moschatus,Ovibos moschatus,muskox
Lynx rufus,Lynx rufus,bobcat
Odocoileus virginianus,Odocoileus virginianus,white-tailed deer
Canis latrans,Canis latrans,coyote
Ursus americanus,Ursus americanus,american black bear
Lynx canadensis,Lynx canadensis,canada lynx
Canis lupus familiaris,Canis lupus familiaris,domestic dog
Papilio canadensis,Papilio canadensis,canadian tiger swallowtail
Colias philodice,Colias philodice,clouded sulphur
Cupido amyntula,Cupido amyntula,western tailed-blue
Plebejus idas,Plebejus idas,NULL
Plebejus melissa,Plebejus melissa,melissa blue
Plebejus saepiolus,Plebejus saepiolus,greenish blue
Speyeria aphrodite,Speyeria aphrodite,NULL
Polygonia satyrus,Polygonia satyrus,satyr comma
Aglais milberti,Aglais milberti,NULL
Coenonympha inornata,Coenonympha tullia inornata,inornate ringlet
Erebia epipsodea,Erebia epipsodea,common alpine
Oeneis macounii,Oeneis macounii,macoun's arctic
Erynnis icelus,Erynnis icelus,dreamy duskywing
Pieris rapae,Pieris rapae,cabbage white
Satyrium titus,Satyrium titus,coral hairstreak
Thorybes pylades,Thorybes pylades,northern cloudywing
Carterocephalus palaemon,Carterocephalus palaemon,arctic skipper
Thymelicus lineola,Thymelicus lineola,european skipper
Polites themistocles,Polites themistocles,tawny-edged skipper
Callophrys niphon,Callophrys niphon,eastern pine elfin
Cupido comyntas,Cupido comyntas,NULL
Glaucopsyche lygdamus,Glaucopsyche lygdamus,silvery blue
Speyeria atlantis,Speyeria atlantis,atlantis fritillary
Boloria bellona,Boloria bellona,meadow fritillary
Phyciodes cocyta,Phyciodes cocyta,pearl crescent
Limenitis arthemis,Limenitis arthemis,red-spotted admiral
Colias eurytheme,Colias eurytheme,orange sulphur
Polygonia progne,Polygonia progne,gray comma
Phyciodes batesii,Phyciodes batesii,tawny crescent
Erora laeta,Erora laeta,early hairstreak
Callophrys henrici,Callophrys henrici,henry's elfin
Colias gigantea,Colias gigantea,giant sulphur
Asterocampa celtis,Asterocampa celtis,hackberry emperor
Satyrium calanus,Satyrium calanus,banded hairstreak
Satyrium edwardsii,Satyrium edwardsii,edwards' hairstreak
Satyrium acadica,Satyrium acadica,acadian hairstreak
Chlosyne harrisii,Chlosyne harrisii,harris' checkerspot
Amblyscirtes hegon,Amblyscirtes hegon,pepper and salt skipper
Poanes massasoit,Poanes massasoit,mulberry wing
Satyrium liparops,Satyrium liparops,striped hairstreak
Lethe appalachia,Lethe appalachia,NULL
Hylephila phyleus,Hylephila phyleus,fiery skipper
Pieris virginiensis,Pieris virginiensis,west virginia white
Papilio cresphontes,Papilio cresphontes,giant swallowtail
Papilio glaucus,Papilio glaucus,eastern tiger swallowtail
Papilio troilus,Papilio troilus,spicebush swallowtail
Celastrina ladon,Celastrina ladon,spring azure
Celastrina serotina,Celastrina serotina,NULL
Limenitis arthemis astyanax,Limenitis arthemis astyanax,red-spotted purple
Erynnis baptisiae,Erynnis baptisiae,wild indigo duskywing
Erynnis horatius,Erynnis horatius,horace's duskywing
